Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,57578.13,58118.99,57512.46,57694,28108343
2023-01-03,57871.29,59044.73,57785.32,58795.62,59942444
2023-01-04,58944.64,59781.73,58881.22,59754.4,48757454
2023-01-05,59568.59,60645.24,59524.48,59854.8,55610264
2023-01-09,60649.5,61364.58,60571.24,61364.58,57760407
2023-01-10,60984.99,62024.09,60860,61967.33,44148316
2023-01-11,62101.65,62450.32,61252.96,61279.52,54059719
2023-01-12,61540.96,62233.89,61436.15,61751.5,72734267
2023-01-13,61844.3,62000.18,61206.3,61565.83,37862378
2023-01-16,61650.84,62073.15,61028.66,61867.14,41870595
2023-01-17,61800.72,61862.74,60912.28,61041.14,38334524
2023-01-18,61189.63,61579.29,60756.32,61176.97,54480483
2023-01-19,60634.86,60893.33,59952.2,60555.94,51857183
2023-01-20,60856.94,60878.93,60375.17,60788.05,36939535
2023-01-23,61217.8,61738.64,61066.44,61619.86,40763425
2023-01-24,61961.48,62288.93,61370.25,61500.61,45377474
2023-01-25,61013.76,61053.48,60369.58,60530.45,41744991
2023-01-26,61188.65,61446.27,60706.81,61235.79,35468953
2023-01-27,61357.11,61606.21,61202.73,61269.7,35595206
2023-01-30,60996.02,61018.69,60445.03,60589.15,37363543
2023-01-31,60427.35,61362.75,60332.71,61286.58,45828020
2023-02-01,61294.61,61509.93,60488.42,60488.42,49278624
2023-02-02,61312.43,61685.76,60758.74,61367.64,46575761
2023-02-03,61297.78,61753.12,61189.29,61465.85,37108579
2023-02-06,61285.22,61340.03,60318.18,60343.17,34189497
2023-02-07,60628,60659.03,60181.82,60491.08,33862443
2023-02-08,60997.36,61218.89,60826.99,60952.29,31004378
2023-02-09,61233.13,61791.66,61179.12,61394.17,36512897
2023-02-10,61035.89,61091.53,59742.03,60008.87,45183620
2023-02-13,60364.72,60375.59,59726.8,60106.84,34271071
2023-02-14,60325.46,60521.65,59876,60141.79,31690861
2023-02-15,60004.29,60611.64,59937.26,60584.75,30216509
2023-02-16,60876.8,61038.82,59967.76,60608.71,41605635
2023-02-17,60206.85,60630.89,60086.05,60459.17,31220258
2023-02-20,60597.17,60597.17,60055.23,60242.74,24124994
2023-02-21,60086,60218.55,59207.19,59514.95,28460499
2023-02-22,59363.04,59374.81,58411.69,58700.74,33934683
2023-02-23,58866.16,59509.86,58834.54,59474.66,26087032
2023-02-24,59494.83,59704.92,58914.42,59051.34,24307432
2023-02-27,59206.13,59603.55,59009.02,59406.03,23373038
2023-02-28,59240.99,60181.4,59158.14,60181.4,42268218
2023-03-01,60369.79,60767.21,60252.98,60502.07,31678967
2023-03-02,60241.13,60241.13,59377.49,59469,43888183
2023-03-03,59733.01,60205.87,59611.11,60205.87,32859499
2023-03-06,60558.69,61396.59,60477.96,61253.26,35199375
2023-03-07,61137.93,61554.09,60830.14,60852.51,42244028
2023-03-08,60681.26,61198.19,60558.82,61096.28,42356347
2023-03-09,61071.2,61071.2,60604.2,60642.79,31765452
2023-03-10,59740.32,59836.05,59172.5,59570,42298349
2023-03-13,59843.48,59843.48,57548.67,58204.15,50194292
2023-03-14,58249.17,58679.59,57847.72,58386.16,34897592
2023-03-15,58443.39,58722.03,56745.69,56844.08,45094674
2023-03-16,57326.66,57417.47,55840.78,56905.06,49667867
2023-03-17,57385.59,57589.44,56013.48,56283.05,63682889
2023-03-20,55639.98,56526.41,54837.78,56451.04,36192245
2023-03-21,56871.12,57503.61,56781.4,57317.98,38359002
2023-03-22,57288.55,57686.62,56952.06,56989.76,30131627
2023-03-23,56911.11,57161.16,56310.68,56983.56,28642210
2023-03-24,56819.14,56819.14,55757.18,56024.38,33198847
2023-03-27,56438.84,56673.73,55951.25,56502.5,29354342
2023-03-28,56881.65,57252.92,56577.34,56770,40283443
2023-03-29,57157.35,57250.5,56623.5,57173.15,45438195
2023-03-30,57478.53,58665.21,57478.53,58665.21,49466414
2023-03-31,58972.84,58998.58,58480.56,58608.76,55680124
2023-04-03,58827.01,59607.77,58780.16,59045.1,44122518
2023-04-04,59329.16,59620.75,58932.85,59027.2,34555669
2023-04-05,59102.07,59102.07,58464.5,58548.76,34781572
2023-04-06,58672.93,58819.56,58395.22,58538.87,21871863
